song_id,status,model,classifier_version,content_token_count,chunk_count,content_budget,source_words,normalized_words,lyrics_sha256,normalized_sha256,identity_attack__max,identity_attack__mean,identity_attack__q90,identity_attack__token_weighted_mean,insult__max,insult__mean,insult__q90,insult__token_weighted_mean,obscene__max,obscene__mean,obscene__q90,obscene__token_weighted_mean,severe_toxicity__max,severe_toxicity__mean,severe_toxicity__q90,severe_toxicity__token_weighted_mean,sexual_explicit__max,sexual_explicit__mean,sexual_explicit__q90,sexual_explicit__token_weighted_mean,threat__max,threat__mean,threat__q90,threat__token_weighted_mean,toxicity__max,toxicity__mean,toxicity__q90,toxicity__token_weighted_mean
song_6f4dfcd36cc7c0bd6c33b7074f8be8254768e06df0d3616b1aa5940c9bcf8caa,success,detoxify,classifier-panel-v1,890,2,510,547,547,23d1a36f74ba9072d6d89587af73c4bd86e454499429160e2551d8b9f7614dd5,23d1a36f74ba9072d6d89587af73c4bd86e454499429160e2551d8b9f7614dd5,0.0004524700343608856,0.0003601786884246394,0.00043401176517363636,0.0003601786884246394,0.0005185960326343775,0.00036827816074946895,0.0004885324582573959,0.00036827816074946895,0.0015529061201959848,0.0008828348436509259,0.001418891864886973,0.0008828348436509259,3.0668394174426794e-05,1.8661528656593873e-05,2.826702107086021e-05,1.8661528656593873e-05,0.0021792484913021326,0.0011605410618358292,0.0019755070054088717,0.0011605410618358292,0.00014833975001238286,9.305457933805883e-05,0.00013728271587751806,9.305457933805883e-05,0.007781674154102802,0.00470656412653625,0.007166652148589492,0.00470656412653625
song_02774fe4f56b6d0a37952e7ecde8456be181bcb74ccb21de416a2aaf61e6f01c,success,detoxify,classifier-panel-v1,744,2,510,294,294,4d70fc4227138ad3717ab54a0b9660fd2c220b52ffb6acfc1330f9929bf12508,4d70fc4227138ad3717ab54a0b9660fd2c220b52ffb6acfc1330f9929bf12508,0.011284997686743736,0.005882157624000683,0.010204429674195126,0.005882157624000683,0.005491956602782011,0.0029469636356225237,0.004982958009350114,0.0029469636356225237,0.004715553019195795,0.0025448795058764517,0.004281418316531927,0.0025448795058764517,7.147018186515197e-05,4.148470861764508e-05,6.54730872156506e-05,4.148470861764508e-05,0.0010424411157146096,0.0005877739458810538,0.0009515076817478985,0.0005877739458810538,0.0001845440419856459,0.00011443976654845756,0.00017052318689820823,0.00011443976654845756,0.04355864226818085,0.02315482124686241,0.039477878063917164,0.02315482124686241
song_a2b0d57e3aeceb90c67f1e0c89daa02a72b08196d8d9b1caf4efa7677c4a847b,success,detoxify,classifier-panel-v1,776,2,510,489,489,af2f35da5c1298489110ab0dc79190e6916df6d9ad3fabd1d43596b1499697e4,af2f35da5c1298489110ab0dc79190e6916df6d9ad3fabd1d43596b1499697e4,0.009871657937765121,0.008572870632633567,0.009611900476738811,0.008572870632633567,0.3466627299785614,0.2869497835636139,0.3347201406955719,0.2869497835636139,0.8793591856956482,0.8480094969272614,0.8730892479419708,0.8480094969272614,0.020450865849852562,0.01629626052454114,0.019619944784790278,0.01629626052454114,0.631499171257019,0.400139644742012,0.5852272659540176,0.400139644742012,0.0015260239597409964,0.0015087088104337454,0.0015225609298795463,0.0015087088104337454,0.9285721778869629,0.9010816514492035,0.923074072599411,0.9010816514492035
song_d8612d69df57efd627cfddf3eaa4c951f3a07bfcf200df32ff761955816080d8,success,detoxify,classifier-panel-v1,870,2,510,552,552,fd2af2006f78ad631a17c897cc8a327940afffa88b6d417b87f840aacfa48eb9,fd2af2006f78ad631a17c897cc8a327940afffa88b6d417b87f840aacfa48eb9,0.39288559556007385,0.2670663148164749,0.3677217394113541,0.2670663148164749,0.6402857303619385,0.540849894285202,0.6203985631465911,0.540849894285202,0.9315693974494934,0.9180403053760529,0.9288635790348053,0.9180403053760529,0.10675124078989029,0.07374224252998829,0.10014944113790988,0.07374224252998829,0.12611183524131775,0.10119759663939476,0.12112898752093315,0.10119759663939476,0.005579729564487934,0.004840837093070149,0.005431951070204377,0.004840837093070149,0.9800231456756592,0.9713044762611389,0.9782794117927551,0.9713044762611389
song_e8d12bd574eb26390ca5a7305f06d31dfc884bedad4f378b2c5bb7a1072900a6,success,detoxify,classifier-panel-v1,425,1,510,324,324,6d53e98ec61a364b62d5be781fe9c79f8fa73450d89bb21bb72dcf809ab19e87,6d53e98ec61a364b62d5be781fe9c79f8fa73450d89bb21bb72dcf809ab19e87,0.0003016786649823189,0.0003016786649823189,0.0003016786649823189,0.0003016786649823189,0.002848059171810746,0.002848059171810746,0.002848059171810746,0.002848059171810746,0.0031257071532309055,0.0031257071532309055,0.0031257071532309055,0.0031257071532309055,2.5039240426849574e-05,2.5039240426849574e-05,2.5039240426849574e-05,2.5039240426849574e-05,0.0027018673717975616,0.0027018673717975616,0.0027018673717975616,0.0027018673717975616,0.00018502080638427287,0.00018502080638427287,0.00018502080638427287,0.00018502080638427287,0.021185211837291718,0.021185211837291718,0.021185211837291718,0.021185211837291718
song_12e5afc3faa7419560ec277fc93b2f9c2313f0d785af09170a1f2f2f60c5fa8e,success,detoxify,classifier-panel-v1,862,2,510,429,429,1ccbc52d9cc7453c36f90888feb17cbcdab6b94765dcabbdb4b7fc12da846469,1ccbc52d9cc7453c36f90888feb17cbcdab6b94765dcabbdb4b7fc12da846469,0.008287235163152218,0.00779873295687139,0.008189534721896052,0.00779873295687139,0.26415714621543884,0.1902320720255375,0.2493721313774586,0.1902320720255375,0.9120213985443115,0.8983637392520905,0.9092898666858673,0.8983637392520905,0.02706282213330269,0.025995939038693905,0.026849445514380933,0.025995939038693905,0.846077561378479,0.44429581239819527,0.7657212115824222,0.44429581239819527,0.009347227402031422,0.0056441641645506024,0.00860661475453526,0.0056441641645506024,0.9551316499710083,0.9538676738739014,0.954878854751587,0.9538676738739014
song_68d640ac4fc975b64ce9e4bbc60e2ec30d3246571962c1f2a6fff343b9086273,success,detoxify,classifier-panel-v1,555,2,510,394,394,394e6cfeea32d75e0124d47fb131ef2623f23bcf1b329954b12770070541f37a,394e6cfeea32d75e0124d47fb131ef2623f23bcf1b329954b12770070541f37a,0.003924972377717495,0.0032228600466623902,0.0037845499115064744,0.003221594979399228,0.0011263431515544653,0.0009900674631353468,0.0010990880138706416,0.0009898219213544115,0.0005477527738548815,0.0005124033923493698,0.0005406828975537791,0.0005123396997700806,4.470822386792861e-05,4.053364500578027e-05,4.387330809549894e-05,4.052612324206469e-05,0.0006994304712861776,0.0006834925152361393,0.00069624288007617,0.0006835212322740673,9.559295722283423e-05,8.684775093570352e-05,9.384391596540808e-05,8.683199380725823e-05,0.006285320036113262,0.005376620916649699,0.006103580212220549,0.005374983620938954
song_5194b6c0df56b87df950120af2c8399eb039c29f29878b87ff284b768eb9ab5a,success,detoxify,classifier-panel-v1,1065,3,510,624,624,ece1ae6838ba480755c42cc28fb4a9ca48668ba66a2773d8b60fd099e4b0dfd7,ece1ae6838ba480755c42cc28fb4a9ca48668ba66a2773d8b60fd099e4b0dfd7,0.7437360286712646,0.7376680572827657,0.7425559759140015,0.7376680572827657,0.8884900808334351,0.8722209731737772,0.888105833530426,0.8722209731737772,0.9823054671287537,0.9785167177518209,0.9813060402870178,0.9785167177518209,0.4833487272262573,0.43901195128758747,0.48202431201934814,0.43901195128758747,0.22448018193244934,0.18480425576368967,0.21396202743053436,0.18480425576368967,0.05259823054075241,0.027733387735982735,0.046481845527887346,0.027733387735982735,0.996401309967041,0.9952962398529053,0.9963083744049073,0.9952962398529053
song_87e53fe885bfd4484f1ebd768210f7c20f4ff3e5232d7ecb256c0eb84c118eb1,success,detoxify,classifier-panel-v1,402,1,510,260,260,2fc41a09568f02c4a616effcd8afa9e154b984cd2651876defe99ecaf91b7733,2fc41a09568f02c4a616effcd8afa9e154b984cd2651876defe99ecaf91b7733,0.002189375227317214,0.002189375227317214,0.002189375227317214,0.002189375227317214,0.002324889414012432,0.002324889414012432,0.002324889414012432,0.002324889414012432,0.0038750083185732365,0.0038750083185732365,0.0038750083185732365,0.0038750083185732365,4.4175834773341194e-05,4.4175834773341194e-05,4.4175834773341194e-05,4.4175834773341194e-05,0.0026935606729239225,0.0026935606729239225,0.0026935606729239225,0.0026935606729239225,0.00048705609515309334,0.00048705609515309334,0.00048705609515309334,0.00048705609515309334,0.02431822381913662,0.02431822381913662,0.02431822381913662,0.02431822381913662
song_d86e59f3a47090f8d0e393978a66012120bcd864bc0d5e43c29e36afd84f6bd6,success,detoxify,classifier-panel-v1,287,1,510,188,188,cc31a7d4f43dd7fe890be82eee881cbaf62fca04be0b1f3ebad810c1118241c5,cc31a7d4f43dd7fe890be82eee881cbaf62fca04be0b1f3ebad810c1118241c5,0.0008404075051657856,0.0008404075051657856,0.0008404075051657856,0.0008404075051657856,0.0036699138581752777,0.0036699138581752777,0.0036699138581752777,0.0036699138581752777,0.0038830118719488382,0.0038830118719488382,0.0038830118719488382,0.0038830118719488382,5.451816105050966e-05,5.451816105050966e-05,5.451816105050966e-05,5.451816105050966e-05,0.0006467282073572278,0.0006467282073572278,0.0006467282073572278,0.0006467282073572278,0.01230994239449501,0.01230994239449501,0.01230994239449501,0.01230994239449501,0.05981142446398735,0.05981142446398735,0.05981142446398735,0.05981142446398735
