model,label,aggregation,side,rank,song_id,title,artist,score
detoxify,identity_attack,token_weighted_mean,high,1,song_5194b6c0df56b87df950120af2c8399eb039c29f29878b87ff284b768eb9ab5a,I Don't Like,Chief Keef Featuring Lil Reese,0.7376680572827657
detoxify,identity_attack,token_weighted_mean,high,2,song_e6845230ff4465513b07c709ef9606b96c83f7f91b85e8fdec7c2de6a73d283e,One Mic,Nas,0.37046681841214496
detoxify,identity_attack,token_weighted_mean,high,3,song_69823ed1beab1c15adab303458294de6aa805b844e4d9bc1cb759b53d8e1d0b8,Murder On My Mind,YNW Melly,0.272312967317225
detoxify,insult,token_weighted_mean,low,1,song_9277254377f0ed6ea2c94d6f5d17ee81782d30bd4f80f6185a6d4d87c99850f7,Hold On,Ian Gomm,0.00010439434845466167
detoxify,insult,token_weighted_mean,low,2,song_e12f73c01a9b74f42d83be6090427aacf2b73668f80c0ff93c72f9ce5a7a0f79,It's So Hard To Say Goodbye To Yesterday,Boyz II Men,0.00010760598524939269
detoxify,insult,token_weighted_mean,low,3,song_4cc7506f1e8d8210be05ab31ae91bd610554d866b02bf85d1040cd114b42b273,Never A Time,Genesis,0.00013578894140664488
detoxify,insult,token_weighted_mean,high,1,song_5194b6c0df56b87df950120af2c8399eb039c29f29878b87ff284b768eb9ab5a,I Don't Like,Chief Keef Featuring Lil Reese,0.8722209731737772
detoxify,insult,token_weighted_mean,high,2,song_8c9359eb2bcab6780ed3a7cdca143da09375324d2952065a07d7adb88bf11161,Foolish Heart,Steve Perry,0.8672122955322266
detoxify,insult,token_weighted_mean,high,3,song_ce55a9b58d73f0eaccd32f2d0b15687e9ff76c2ac47b5977a2c0507e07f966cc,He's A Liar,Bee Gees,0.8076375126838684
detoxify,threat,token_weighted_mean,low,1,song_05be1f29e67911d8e269dbbba495ee25b92120a0aba32db094923f7adf2183b7,Are We Ourselves?,The Fixx,1.551954665046651e-05
detoxify,threat,token_weighted_mean,low,2,song_9277254377f0ed6ea2c94d6f5d17ee81782d30bd4f80f6185a6d4d87c99850f7,Hold On,Ian Gomm,1.653539584367536e-05
detoxify,threat,token_weighted_mean,low,3,song_f41a534741f51cde1d600b6ee480a6cec27c432d48b34b9d946bd8331f5d2a74,Rainbow Connection,Kermit (Jim Henson),1.7734693756210618e-05
detoxify,threat,token_weighted_mean,high,1,song_e850a0ebd5865cbcde0d7358f03fb5b1793e1d046b07f23d6f6f42c012be6355,Cry Just A Little,Paul Davis,0.5534355640411377
detoxify,threat,token_weighted_mean,high,2,song_11fde80db739a6f64d0a9d9b691cf7b6526c1ba2e830f676d5e4a336c17c9df8,How Country Feels,Randy Houser,0.38061538338661194
detoxify,threat,token_weighted_mean,high,3,song_cffa8f01b4504b05fce295326727af806635a4c532bd69e16f74e64a773bfaf9,"Skoal, Chevy, And Browning",Morgan Wallen,0.15996368959890167
detoxify,sexual_explicit,token_weighted_mean,low,1,song_9277254377f0ed6ea2c94d6f5d17ee81782d30bd4f80f6185a6d4d87c99850f7,Hold On,Ian Gomm,1.3729860256717075e-05
detoxify,sexual_explicit,token_weighted_mean,low,2,song_05be1f29e67911d8e269dbbba495ee25b92120a0aba32db094923f7adf2183b7,Are We Ourselves?,The Fixx,1.410689492331585e-05
detoxify,sexual_explicit,token_weighted_mean,low,3,song_e12f73c01a9b74f42d83be6090427aacf2b73668f80c0ff93c72f9ce5a7a0f79,It's So Hard To Say Goodbye To Yesterday,Boyz II Men,1.4579945855075493e-05
detoxify,sexual_explicit,token_weighted_mean,high,1,song_a9824e4acd085fbd53e561a95b0a44b852833928c774ab7affba998ddfec95a6,Closer,Nine Inch Nails,0.8855344653129578
detoxify,sexual_explicit,token_weighted_mean,high,2,song_97dde8742e0cc2461773a6d71873bf7831160cc7b3b82fcb096f1022b4c12759,WAP,Cardi B Featuring Megan Thee Stallion,0.85885222752889
detoxify,sexual_explicit,token_weighted_mean,high,3,song_8e7a07712e424d6dc71b31f594afafc6604cf5d4f09fcf81c91908a2c45b979d,Anaconda,Nicki Minaj,0.6397456079721451
emotion,admiration,token_weighted_mean,low,1,song_56bdd8217899c9e589dcd9c9815cd8a10cefaf5d231d74e390d1dde403f23b9e,Straight From The Heart,Bryan Adams,0.000515835708938539
emotion,admiration,token_weighted_mean,low,2,song_f4185aea5cd17f1abea03ccb1fa6b853bc8cc48352e792e4aa84bd5673669c5e,The Itch,Vitamin C,0.0005642857493396191
emotion,admiration,token_weighted_mean,low,3,song_73fbb9f604cb292bdaf3f319390e188d21615475a6a3d28edf6ac1e542bb9ab8,Human Nature,Madonna,0.0005897366208955646
emotion,admiration,token_weighted_mean,high,1,song_7cfaf4be60351ae529bbb4b6a7b493826b52baf2985f565b0e889b3c23ab5e29,The Most Beautiful Girl In The World,Prince,0.7779138684272766
emotion,admiration,token_weighted_mean,high,2,song_b10199f4fcf60c75729c81ed97259c8e6aa9673cdcb93acdc6f4171e7cf8d945,What A Wonderful World,Louis Armstrong,0.6052367091178894
emotion,admiration,token_weighted_mean,high,3,song_68d640ac4fc975b64ce9e4bbc60e2ec30d3246571962c1f2a6fff343b9086273,Good Girl,Dustin Lynch,0.5469039940082275
emotion,amusement,token_weighted_mean,low,1,song_098c94ccca359db8e6a9a7a5e4d678f28906d0b215ea72e613efcb940a06511c,Faint,Linkin Park,0.0004457161121536046
emotion,amusement,token_weighted_mean,low,2,song_49444e52efc677ac5bbdb87422be8b88c555f18f38a1301ade4d6d7dc7acc9c3,You Don't Have To Be A Star (To Be In My Show),Marilyn McCoo & Billy Davis Jr.,0.00047492829617112875
emotion,amusement,token_weighted_mean,low,3,song_e319997d3f69b195d329284eff16e1d5872564140a461c7a55a80ac6bddbc9cc,Do I Have To Say The Words?,Bryan Adams,0.0005306837265379727
emotion,amusement,token_weighted_mean,high,1,song_84fb3306a13f9324e94484bea63edeaa1e6248de1587badbb758a41c3fef27e6,Because I Got High,Afroman,0.6105807476418473
emotion,amusement,token_weighted_mean,high,2,song_341d5e61c3771b2583160580b52ebf1a8e95798d167c3120383be6d5c367dcd6,Deja Vu,Olivia Rodrigo,0.35244855284690857
emotion,amusement,token_weighted_mean,high,3,song_179feb8a79929d69156bfaf7c8ed48a7d01d17db6762f40e1d540507cc4f76e6,Gin And Juice,Snoop Doggy Dogg,0.23700873718962276
emotion,anger,token_weighted_mean,low,1,song_a0d2022d699c35704ab0f0e43a6856fcd3fa30930d806529eb228106de34770e,Let It Be,The Beatles,0.0005953662330284715
emotion,anger,token_weighted_mean,low,2,song_b10199f4fcf60c75729c81ed97259c8e6aa9673cdcb93acdc6f4171e7cf8d945,What A Wonderful World,Louis Armstrong,0.0007257318939082325
emotion,anger,token_weighted_mean,low,3,song_e1a7f29430e196c1d83a8f58a4a17f41d5c2fadde8c3cf34dee5280016e53eda,State Of the Heart,Rick Springfield,0.0008743193466216326
emotion,anger,token_weighted_mean,high,1,song_5d5af3444c66dfa9b904e41deae67f9dc3da2e8afe113f76d35d7c17893c4021,Liar,Profyle,0.45302124321460724
emotion,anger,token_weighted_mean,high,2,song_5194b6c0df56b87df950120af2c8399eb039c29f29878b87ff284b768eb9ab5a,I Don't Like,Chief Keef Featuring Lil Reese,0.4463259776433309
emotion,anger,token_weighted_mean,high,3,song_df65c35504bb4ab737bbde1916d9226388671296143f32de56be3bcd942836de,Shut It Down,Pitbull Featuring Akon,0.41265128552913666
emotion,annoyance,token_weighted_mean,low,1,song_b10199f4fcf60c75729c81ed97259c8e6aa9673cdcb93acdc6f4171e7cf8d945,What A Wonderful World,Louis Armstrong,0.0018228584667667747
emotion,annoyance,token_weighted_mean,low,2,song_c0c862864db358e90588de9f7252a57d2071427842018127b437850496d715fa,Amen,The Impressions,0.002988482592627406
emotion,annoyance,token_weighted_mean,low,3,song_48c9a31f32d37489d6e49c8e3c9c2b203b5393562fbdbb3ce735de99f9c08e9e,Seven Bridges Road,Eagles,0.00301358662545681
emotion,annoyance,token_weighted_mean,high,1,song_10f21a7ac2fc5e27711d31d4a39dd3e60c793cda1e918d41a79a3b7b83519df3,Not Nice,PARTYNEXTDOOR,0.47250548005104065
emotion,annoyance,token_weighted_mean,high,2,song_e0a36a17d8a781eb85e23d922f0348860628a7b53cfa659379924565775bb4b5,What's The Matter Here?,"10,000 Maniacs",0.4619198739528656
emotion,annoyance,token_weighted_mean,high,3,song_d92c9c969ef6faa0d0b2115b652c61268381ee491bc4f03c32990feb5a3c9e45,Paint The Town Red,Doja Cat,0.4356910822373634
emotion,approval,token_weighted_mean,low,1,song_9277254377f0ed6ea2c94d6f5d17ee81782d30bd4f80f6185a6d4d87c99850f7,Hold On,Ian Gomm,0.00422704080119729
emotion,approval,token_weighted_mean,low,2,song_d8612d69df57efd627cfddf3eaa4c951f3a07bfcf200df32ff761955816080d8,Drowning,A Boogie Wit da Hoodie Featuring Kodak Black,0.005485383793711662
emotion,approval,token_weighted_mean,low,3,song_69823ed1beab1c15adab303458294de6aa805b844e4d9bc1cb759b53d8e1d0b8,Murder On My Mind,YNW Melly,0.005804671195663504
emotion,approval,token_weighted_mean,high,1,song_49444e52efc677ac5bbdb87422be8b88c555f18f38a1301ade4d6d7dc7acc9c3,You Don't Have To Be A Star (To Be In My Show),Marilyn McCoo & Billy Davis Jr.,0.44774460792541504
emotion,approval,token_weighted_mean,high,2,song_4eedaac548f0db66c979575510092e16f414750629bddb6217182d6a43faa1ca,Love Makes A Woman,Barbara Acklin,0.41479355096817017
emotion,approval,token_weighted_mean,high,3,song_1130d71736864e2f32c66a5784e269842b861afc685af864962777b4ea459b76,Soul Man,Blues Brothers,0.2959122359752655
