column,n,min,max,mean,median,sd,q05,q25,q75,q95,zero,one,below_01,above_99
emotion_confusion,200,0.0004873862490057945,0.4178329408168793,0.0224914140655292,0.0032432525417979063,0.06093959588178335,0.0008846765209455043,0.0016138509527081624,0.01216242415830493,0.10014508776366587,0,0,144,0
emotion_curiosity,200,0.00037668904406018555,0.6976317167282104,0.03678067868514361,0.004499284666962922,0.09365023105708137,0.0007718068329024667,0.0016645631403662264,0.021883162204176188,0.19536101818084714,0,0,125,0
emotion_desire,200,0.0006901943706907332,0.7707449793815613,0.06499311557774566,0.009734761696077262,0.14459759812747783,0.0011983247939497234,0.002826179872499779,0.03779434775549018,0.3524526208639134,0,0,101,0
emotion_disappointment,200,0.0010626206640154123,0.4384767711162567,0.048509864223450994,0.013125948995972674,0.07802496123771578,0.0018758860329398887,0.004355913959443569,0.05637631472200155,0.1984813310205934,0,0,84,0
emotion_disapproval,200,0.0007395387510769069,0.4906071424484253,0.02308482940112156,0.007728677941486239,0.05510135055530002,0.0017241951121905654,0.0038912842865101993,0.018455256707966328,0.0768818382173774,0,0,119,0
emotion_disgust,200,0.0005199598963372409,0.0811762847006321,0.005859456375491379,0.0026656744303181767,0.009440063721943559,0.0007508653012337163,0.001453115080948919,0.0060444168288597095,0.023593553124616536,0,0,173,0
emotion_embarrassment,200,0.00017833249876275659,0.2697342708706856,0.003943483743278228,0.0014221439487300813,0.019254942092791955,0.00041010509303305296,0.0007303389866137877,0.0032037952863281783,0.007172197406180199,0,0,193,0
emotion_excitement,200,0.0006034995021764189,0.4649387001991272,0.02208886335301441,0.005582068126482866,0.05381076676405318,0.0009090070787351579,0.002452939486829564,0.016250815009698272,0.08533552933949969,0,0,130,0
emotion_fear,200,0.00031601122464053333,0.09034001637776276,0.005105775470996068,0.0024455464711109617,0.009530107012024756,0.0007587671035320491,0.0014288251210624974,0.00445293322748815,0.015334060555323914,0,0,179,0
emotion_gratitude,200,4.992881076759659e-05,0.1871483540162444,0.0028834974388196903,0.0005329337841325542,0.016446184189283723,0.00010548905302130152,0.00025879776148940437,0.0012662699170810539,0.00786515548243187,0,0,196,0
emotion_grief,200,0.0002445532755582067,0.038658589124679565,0.0026441902640895153,0.001132379868067801,0.0045238514524485,0.0003286866922280751,0.0006029756768839434,0.002452172979246825,0.01021556658670306,0,0,189,0
emotion_joy,200,0.0007098113710526377,0.7509775161743164,0.032707488498945815,0.00803769255543204,0.09118752218332622,0.001406594121363014,0.0026509460634163893,0.021283079811837524,0.14372365009039634,0,0,112,0
emotion_love,200,0.00040476827416568995,0.9718871712684631,0.19193407839044757,0.008491425309330225,0.3130728413923403,0.0006790810225342235,0.0018204808584414423,0.21430043503642082,0.9018571656942365,0,0,105,0
emotion_nervousness,200,0.00028786229086108506,0.06210764870047569,0.005846730458190034,0.0018332066247239709,0.009733138623771015,0.0004161594082645297,0.0010105244800797664,0.005334865336791361,0.024101540818810427,0,0,167,0
emotion_optimism,200,0.0013603270053863525,0.47620466351509094,0.02452915713914855,0.007968703284859657,0.05666388674188941,0.0019887087459210307,0.004001496476121247,0.018535579089075327,0.09739850200712655,0,0,110,0
emotion_pride,200,9.938408038578928e-05,0.17243752485956065,0.002385488431006208,0.0008212054019315621,0.012292254850910143,0.00023971556456806435,0.0004985380255675409,0.0014974248479120433,0.005605186917819076,0,0,195,0
emotion_realization,200,0.0029280539602041245,0.13403270114213228,0.01843998801316516,0.010971450246870518,0.02135015861744143,0.004373472393490375,0.0070105137840689655,0.01966224843636155,0.06143486332148311,0,0,89,0
emotion_relief,200,0.0002571989110235692,0.06359629333019257,0.002941910924448235,0.0015275852056220174,0.0059507757167124534,0.000410195100994315,0.0007865941345604342,0.002793974010273814,0.008976518781855684,0,0,190,0
emotion_remorse,200,0.00012278986105229706,0.8024336695671082,0.010872935182785225,0.0013483384973369539,0.06534823778597149,0.00022092820134056535,0.0005319268057064619,0.003542472783010453,0.02770115714520211,0,0,176,0
emotion_sadness,200,0.0007414094870910048,0.8319674730300903,0.06993058622336208,0.008397323545068502,0.15830359174996947,0.0011930793843930587,0.002764788460668047,0.05361525936418779,0.433314256370067,0,0,105,0
emotion_surprise,200,0.0004073901509400457,0.2938305385593881,0.00838123811936084,0.00250568605481828,0.025428660435153676,0.0005696365812613064,0.0012951101574193065,0.006220235154614784,0.0291843854822218,0,0,169,0
emotion_neutral,200,0.00962828565388918,0.9657362103462219,0.3750252990890096,0.28971622159266175,0.3055684182899213,0.02788948714733124,0.09489994868636131,0.6033654995262623,0.9274311870336532,0,0,1,0
sentiment_negative,200,0.10829422622919083,0.5053280591964722,0.2673721311221818,0.2595634162425995,0.07448131849689739,0.15676007201795716,0.21718293987214565,0.3110128814975421,0.41353984676908756,0,0,0,0
sentiment_neutral,200,0.30979958176612854,0.5388665199279785,0.42393573969795695,0.4238802418112755,0.038338348479176616,0.3504047726984081,0.4052228480577469,0.4485584869980812,0.47922089248895644,0,0,0,0
sentiment_positive,200,0.13955848664045334,0.5660786628723145,0.3086921269316076,0.30387045443058014,0.07667727617928251,0.1900240890681744,0.2619295362383127,0.34547043591737747,0.45867738027655003,0,0,0,0
