family,model_a,label_a,model_b,label_b,aggregation,sample,n,pearson,spearman,mean_absolute_percentile_gap,within_10_percentile_points,opposite_quintiles,high_a_count,high_b_count,high_intersection,high_union,high_jaccard,low_a_count,low_b_count,low_intersection,low_union,low_jaccard
loss,emotion,sadness,bart,heartbreak,max,core_180,180,0.25991014258933565,0.5131722172495036,0.22377405338299194,56,3,36,36,18,54,0.3333333333333333,36,36,13,59,0.22033898305084745
loss,emotion,sadness,bart,heartbreak,q90,all_200,200,0.2634070934521083,0.5161644041101028,0.22306532663316583,61,2,40,40,20,60,0.3333333333333333,40,40,17,63,0.2698412698412698
loss,emotion,sadness,bart,heartbreak,q90,core_180,180,0.2601829442003575,0.5215984032428984,0.2211669770328988,57,3,36,36,18,54,0.3333333333333333,36,36,13,59,0.22033898305084745
loss,emotion,grief,bart,grief,mean,all_200,200,0.2468022777641016,0.270852771319283,0.2907035175879397,34,6,40,40,15,65,0.23076923076923078,40,40,11,69,0.15942028985507245
loss,emotion,grief,bart,grief,mean,core_180,180,0.25243959848367986,0.27852711503441463,0.28634388578522657,33,6,36,36,13,59,0.22033898305084745,36,36,10,62,0.16129032258064516
loss,emotion,grief,bart,grief,token_weighted_mean,all_200,200,0.2468031061781671,0.270852771319283,0.2907035175879397,34,6,40,40,15,65,0.23076923076923078,40,40,11,69,0.15942028985507245
loss,emotion,grief,bart,grief,token_weighted_mean,core_180,180,0.2524402524480648,0.27852711503441463,0.28634388578522657,33,6,36,36,13,59,0.22033898305084745,36,36,10,62,0.16129032258064516
loss,emotion,grief,bart,grief,max,all_200,200,0.24768832373483615,0.27235430885772144,0.287035175879397,38,6,40,40,13,67,0.19402985074626866,40,40,13,67,0.19402985074626866
loss,emotion,grief,bart,grief,max,core_180,180,0.25050071407197044,0.2662736504213093,0.28634388578522657,38,6,36,36,11,61,0.18032786885245902,36,36,12,60,0.2
loss,emotion,grief,bart,grief,q90,all_200,200,0.24724866254878394,0.27410185254631364,0.2876884422110553,39,6,40,40,15,65,0.23076923076923078,40,40,13,67,0.19402985074626866
loss,emotion,grief,bart,grief,q90,core_180,180,0.25062485870442497,0.2704754261962818,0.28640595903165733,37,6,36,36,12,60,0.2,36,36,12,60,0.2
negative_affect,sentiment,negative,emotion,sadness,mean,all_200,200,0.25861360983151227,0.3378729468236706,0.26326633165829144,57,5,40,40,16,64,0.25,40,40,10,70,0.14285714285714285
negative_affect,sentiment,negative,emotion,sadness,mean,core_180,180,0.25510802776832725,0.346650616788584,0.2594661700806952,50,4,36,36,13,59,0.22033898305084745,36,36,11,61,0.18032786885245902
negative_affect,sentiment,negative,emotion,sadness,token_weighted_mean,all_200,200,0.2586198488205795,0.33785794644866124,0.2633165829145729,57,5,40,40,16,64,0.25,40,40,10,70,0.14285714285714285
negative_affect,sentiment,negative,emotion,sadness,token_weighted_mean,core_180,180,0.25511301158608685,0.346650616788584,0.2594661700806952,50,4,36,36,13,59,0.22033898305084745,36,36,11,61,0.18032786885245902
negative_affect,sentiment,negative,emotion,sadness,max,all_200,200,0.2489757218880791,0.3408340208505213,0.26246231155778893,49,6,40,40,14,66,0.21212121212121213,40,40,10,70,0.14285714285714285
negative_affect,sentiment,negative,emotion,sadness,max,core_180,180,0.24489889191378203,0.34521024311449944,0.25996275605214153,46,6,36,36,13,59,0.22033898305084745,36,36,9,63,0.14285714285714285
negative_affect,sentiment,negative,emotion,sadness,q90,all_200,200,0.25028776460885127,0.33975099377484436,0.2628643216080402,50,5,40,40,15,65,0.23076923076923078,40,40,11,69,0.15942028985507245
negative_affect,sentiment,negative,emotion,sadness,q90,core_180,180,0.24634791932775107,0.34422255830941284,0.26014897579143387,46,6,36,36,13,59,0.22033898305084745,36,36,9,63,0.14285714285714285
negative_affect,sentiment,negative,emotion,anger,mean,all_200,200,0.34280599465973616,0.44809870246756167,0.24090452261306533,52,3,40,40,21,59,0.3559322033898305,40,40,12,68,0.17647058823529413
negative_affect,sentiment,negative,emotion,anger,mean,core_180,180,0.32940670110403214,0.4407502289165304,0.240471756672874,52,3,36,36,18,54,0.3333333333333333,36,36,10,62,0.16129032258064516
negative_affect,sentiment,negative,emotion,anger,token_weighted_mean,all_200,200,0.34283908721839373,0.448115202880072,0.24090452261306533,52,3,40,40,21,59,0.3559322033898305,40,40,12,68,0.17647058823529413
negative_affect,sentiment,negative,emotion,anger,token_weighted_mean,core_180,180,0.3294376240141533,0.44076874800662574,0.240471756672874,52,3,36,36,18,54,0.3333333333333333,36,36,10,62,0.16129032258064516
negative_affect,sentiment,negative,emotion,anger,max,all_200,200,0.32273943663460275,0.45201230030750766,0.23904522613065327,55,4,40,40,20,60,0.3333333333333333,40,40,10,70,0.14285714285714285
negative_affect,sentiment,negative,emotion,anger,max,core_180,180,0.308962232352388,0.44262065701616304,0.23954065797641216,52,3,36,36,21,51,0.4117647058823529,36,36,10,62,0.16129032258064516
negative_affect,sentiment,negative,emotion,anger,q90,all_200,200,0.32561953444257835,0.4502182554563864,0.23969849246231156,53,3,40,40,20,60,0.3333333333333333,40,40,11,69,0.15942028985507245
negative_affect,sentiment,negative,emotion,anger,q90,core_180,180,0.3116526644440607,0.4411576488986286,0.23997517070142768,51,3,36,36,21,51,0.4117647058823529,36,36,10,62,0.16129032258064516
