model,label,aggregation,sample,n,min,max,mean,median,sd,q05,q25,q75,q95,zero,one,below_01,above_99
emotion,annoyance,q90,core_180,180,0.002988482592627406,0.5004512012004853,0.06332236703317096,0.01834180625155568,0.10242139554396817,0.004284460606286303,0.0093249196652323,0.06187732610851526,0.2952999067306516,0,0,49,0
emotion,approval,mean,all_200,200,0.00422704080119729,0.44774460792541504,0.04948263040743768,0.02640628209337592,0.060077697086138776,0.008869542879983783,0.014410610310733318,0.0664700735360384,0.15844513028860074,0,0,17,0
emotion,approval,mean,core_180,180,0.00422704080119729,0.44774460792541504,0.047829695157620505,0.02637414401397109,0.060151797348174094,0.009031733125448227,0.014410610310733318,0.061345557565800846,0.14984417185187332,0,0,14,0
emotion,approval,token_weighted_mean,all_200,200,0.00422704080119729,0.44774460792541504,0.04948273037784394,0.026395862106456173,0.06007711970830655,0.008869542879983783,0.014410385035884741,0.0664700735360384,0.15844513028860074,0,0,17,0
emotion,approval,token_weighted_mean,core_180,180,0.00422704080119729,0.44774460792541504,0.04782956359914031,0.026363724027051342,0.06015109426579287,0.009031733125448227,0.014410385035884741,0.061345557565800846,0.14984417185187332,0,0,14,0
emotion,approval,max,all_200,200,0.00422704080119729,0.44774460792541504,0.05612610982498154,0.02998416032642126,0.06830830889139691,0.008869542879983783,0.01578344590961933,0.07174276001751423,0.18373789936304077,0,0,16,0
emotion,approval,max,core_180,180,0.00422704080119729,0.44774460792541504,0.054358090794024365,0.027937209233641624,0.06753533304484027,0.009031733125448227,0.01578344590961933,0.0696537233889103,0.18373789936304077,0,0,14,0
emotion,approval,q90,all_200,200,0.00422704080119729,0.44774460792541504,0.054796348985750226,0.029554649628698824,0.06648602173069566,0.008869542879983783,0.015529108233749866,0.06985506787896156,0.17904380047693844,0,0,16,0
emotion,approval,q90,core_180,180,0.00422704080119729,0.44774460792541504,0.053051835836376994,0.027937209233641624,0.06592165804072053,0.009031733125448227,0.015529108233749866,0.06855300422757865,0.16975999375805245,0,0,14,0
emotion,caring,mean,all_200,200,0.0004886089591309428,0.6540184020996094,0.04082137143641982,0.007241836981847882,0.10513865394107576,0.0011657296534394845,0.0026573183616468063,0.021692743292078376,0.2762888809666036,0,0,114,0
emotion,caring,mean,core_180,180,0.0004886089591309428,0.6540184020996094,0.04012898143135114,0.007533088559284806,0.10583638502623584,0.0011657296534394845,0.002820347435772419,0.021692743292078376,0.269375549443066,0,0,102,0
emotion,caring,token_weighted_mean,all_200,200,0.0004886089591309428,0.6540184020996094,0.04082058029328996,0.007241836981847882,0.1051369570506205,0.0011657296534394845,0.0026573183616468063,0.021683356036568523,0.27629271243975134,0,0,114,0
emotion,caring,token_weighted_mean,core_180,180,0.0004886089591309428,0.6540184020996094,0.04012808329564153,0.007533088559284806,0.10583451017400117,0.0011657296534394845,0.002820347435772419,0.021683356036568523,0.2693757510995475,0,0,102,0
emotion,caring,max,all_200,200,0.0004886089591309428,0.6540184020996094,0.04474655809579417,0.007930066902190447,0.1140340472136415,0.0011879187368322164,0.003108637756668031,0.024790482129901648,0.28745687156915617,0,0,110,0
emotion,caring,max,core_180,180,0.0004886089591309428,0.6540184020996094,0.04444613845100523,0.008073004428297281,0.11565501636412447,0.0011879187368322164,0.003530378802679479,0.024790482129901648,0.284134466946125,0,0,98,0
emotion,caring,q90,all_200,200,0.0004886089591309428,0.6540184020996094,0.043852003053383666,0.007930066902190447,0.11135478047717948,0.0011879187368322164,0.0029067883937386797,0.02468051454052329,0.28745687156915617,0,0,110,0
emotion,caring,q90,core_180,180,0.0004886089591309428,0.6540184020996094,0.043461363715210206,0.008008771575987339,0.11270942533174318,0.0011879187368322164,0.0034050237154588103,0.02468051454052329,0.284134466946125,0,0,98,0
emotion,confusion,mean,all_200,200,0.0004873862490057945,0.4178329408168793,0.02249054242488152,0.0032434940803796053,0.06093609231074734,0.0008846765209455043,0.0016138509527081624,0.01216242415830493,0.10014508776366587,0,0,144,0
emotion,confusion,mean,core_180,180,0.0004873862490057945,0.4178329408168793,0.023262692703132484,0.003269617212936282,0.061733237910414754,0.0008842435519909487,0.001672592683462426,0.013075547059997916,0.10014508776366587,0,0,126,0
emotion,confusion,token_weighted_mean,all_200,200,0.0004873862490057945,0.4178329408168793,0.0224914140655292,0.0032432525417979063,0.06093959588178335,0.0008846765209455043,0.0016138509527081624,0.01216242415830493,0.10014508776366587,0,0,144,0
emotion,confusion,token_weighted_mean,core_180,180,0.0004873862490057945,0.4178329408168793,0.023263751423659773,0.003269617212936282,0.061737059144839845,0.0008842435519909487,0.001672592683462426,0.013075547059997916,0.10014508776366587,0,0,126,0
emotion,confusion,max,all_200,200,0.0004873862490057945,0.4178329408168793,0.0243418212630786,0.0035477925557643175,0.0636944275273913,0.0008847295277519152,0.001775351818650961,0.013445970369502902,0.10022347830235832,0,0,136,0
emotion,confusion,max,core_180,180,0.0004873862490057945,0.4178329408168793,0.025222099715352265,0.003629826125688851,0.06474108834337342,0.0008847295277519152,0.001905704033561051,0.015567725524306297,0.10022347830235832,0,0,119,0
emotion,confusion,q90,all_200,200,0.0004873862490057945,0.4178329408168793,0.02394266667944612,0.0034505515126511455,0.06302479114074848,0.0008846765209455043,0.0017051712959073487,0.013075547059997916,0.10022347830235832,0,0,137,0
emotion,confusion,q90,core_180,180,0.0004873862490057945,0.4178329408168793,0.024798102934210975,0.0035676361294463277,0.06401278190912506,0.0008842435519909487,0.001905704033561051,0.015204060974065214,0.10022347830235832,0,0,119,0
emotion,curiosity,mean,all_200,200,0.00037668904406018555,0.6976317167282104,0.03678171749372268,0.004499284666962922,0.09365049890155167,0.0007717982327449136,0.0016645631403662264,0.021883162204176188,0.19536101818084714,0,0,125,0
emotion,curiosity,mean,core_180,180,0.00037668904406018555,0.6976317167282104,0.03759225806381976,0.004911430180072784,0.09362093816934496,0.0007459182394086383,0.001652995910262689,0.023677082353970036,0.19536101818084714,0,0,111,0
emotion,curiosity,token_weighted_mean,all_200,200,0.00037668904406018555,0.6976317167282104,0.03678067868514361,0.004499284666962922,0.09365023105708137,0.0007718068329024667,0.0016645631403662264,0.021883162204176188,0.19536101818084714,0,0,125,0
