family,model_a,label_a,model_b,label_b,selection,song_id,title,artist,score_a,score_b,percentile_a,percentile_b,absolute_percentile_gap
violence,lyriclens,violence,detoxify,threat,both_low,song_341d5e61c3771b2583160580b52ebf1a8e95798d167c3120383be6d5c367dcd6,Deja Vu,Olivia Rodrigo,0.0004991397727280855,4.757563874591142e-05,0.0,0.11055276381909548,0.11055276381909548
violence,lyriclens,violence,bart,violence,a_ranks_lower,song_02774fe4f56b6d0a37952e7ecde8456be181bcb74ccb21de416a2aaf61e6f01c,Almost Like Praying,Lin-Manuel Miranda Featuring Artists For Puerto Rico,0.0006337040686048567,0.9124936945367812,0.01507537688442211,0.8442211055276382,0.8291457286432161
violence,lyriclens,violence,bart,violence,a_ranks_lower,song_6f4dfcd36cc7c0bd6c33b7074f8be8254768e06df0d3616b1aa5940c9bcf8caa,Can't Stop The Feeling!,Justin Timberlake,0.001879046089015901,0.938599638486028,0.08040201005025126,0.8793969849246231,0.7989949748743719
violence,lyriclens,violence,bart,violence,a_ranks_higher,song_e850a0ebd5865cbcde0d7358f03fb5b1793e1d046b07f23d6f6f42c012be6355,Cry Just A Little,Paul Davis,0.38186323642730713,0.11213362887467264,0.7889447236180904,0.1457286432160804,0.6432160804020101
violence,lyriclens,violence,bart,violence,a_ranks_higher,song_23d90431f2ad7d4f8d31fc70fb9bc9aad106a4f8849752e76e878e6e017eb477,Imagine,John Lennon/Plastic Ono Band,0.9949536919593811,0.12408477846473678,0.8994974874371859,0.17587939698492464,0.7236180904522613
violence,lyriclens,violence,bart,violence,both_high,song_97cfc67489dd849a26253fcdefcaff63ecc2b80e39a5a4b394c09a496e723f59,You Better You Bet,The Who,0.9975057244300842,0.9843131903019507,0.964824120603015,0.9597989949748744,0.005025125628140614
violence,lyriclens,violence,bart,violence,both_high,song_5194b6c0df56b87df950120af2c8399eb039c29f29878b87ff284b768eb9ab5a,I Don't Like,Chief Keef Featuring Lil Reese,0.9971914887428284,0.9870600403837495,0.9597989949748744,0.964824120603015,0.005025125628140614
violence,lyriclens,violence,bart,violence,both_low,song_0aed0baea9ae5d346cf2c42de2f92d7bd81418aa8269b3f685d489fdbf4cc08d,My Girl,The Temptations,0.0007344101322814822,0.07916222124572049,0.020100502512562814,0.09045226130653267,0.07035175879396985
violence,lyriclens,violence,bart,violence,both_low,song_e8d12bd574eb26390ca5a7305f06d31dfc884bedad4f378b2c5bb7a1072900a6,Little Things,One Direction,0.0021036933176219463,0.07212818404735855,0.10050251256281408,0.06532663316582915,0.035175879396984924
violence,detoxify,threat,bart,violence,a_ranks_lower,song_998bc37c190dff49fde971e79accf4badc8b6cfaf976b48a0ee35395bfbd062d,Hot Fun In The Summertime,Dayton,3.2087715226225555e-05,0.6965659488447445,0.06532663316582915,0.7386934673366834,0.6733668341708543
