change,song_id,title,artist,archived_musicbrainz_pilot_status
added,song_06b82f50067cee3a5f181ae46ec341775ce5b38b8b823baab08913722d23c138,Drop Dead Gorgeous,Republica,
added,song_06e0cea43c01a44abdf44fd0719b640a5dbfa7ba729f1847978a49fafacf19c3,Jealousy,Kim Sanders,
added,song_06e7fc585eeac542588a276f64a0657a5148fb2e9b3d4ab84412c6865ddefb32,1927 Kansas City,Mike Reilly,
added,song_06e86f6caa7551488a7f4e6a97ed78197f352f6f0ccbda8223186123f94b4c7b,Brokey,Latto,
added,song_06ee99016d89946084339095cf440fb8ccd7da3d15799032d90d24cbf97a4ba0,FRI(END)S,V,
added,song_06f5ef74a43d64fd82db39c1212a1b89ac5572bcac187f8b2c32b0d80cce9c90,Faking It,Calvin Harris Featuring Kehlani & Lil Yachty,
added,song_070f95df5b04b44b72f6e2025920987cc175072b5febfa3af8a046bc56544c62,Release Me,Johnny Adams,
added,song_070fe7735a6690bae933a7dad15c8579213c43a556ced8fec000713ba5443c37,Hands Up,Lloyd Banks Featuring 50 Cent,
added,song_0712ab2928da2a4808f02423153917b8bf84615d37cf35363d20ceb86c82569b,I Know,Polo G,
added,song_074aba7b3a79ec8a1defd894e7184458d8aa801cf37e5ac41b26f0b58a5e1a07,Head First,The Babys,
added,song_07b9c107146bb6001d184270357736732695c3cdb5a6f27b7ed62f60a0953e7e,Free Me,Johnny Preston,
added,song_07d1989ac9a48188bc2aadbf88afb14ec3b9f9ab7e169212283f2ce6107572d7,Let's Make Each Other Happy,The Illusion,
added,song_07f59088d870c95573874eea73459ece1659e92ad1dfc6cc760445340f62fe23,Alone Again Or,Love,
added,song_0815f93166618fc0f673cb79cba6d81c605bc2e30980faa0ebc50c441724f5ab,"Tears, Tears, Tears",Ben E. King,
added,song_081efac247f135f2cfa29ea1d3c9e3395f3eed04e6dc756928aa439baa12fcd9,HG4,Rod Wave,
added,song_081f0e5dd335499a19123d6d917e341c40bdbd00c0fa1e3bb12fbfcd4595ea96,You've Made Me So Very Happy,Lou Rawls,
added,song_082b3137797cb312dd6349fbf882fb46ab162e522e95fdc4bee58d7b8980ba0f,Way Out,Jack Harlow Featuring Big Sean,
added,song_084220ffe7e73102febade739a135da709fb02dc9bc8317bfb82ab9eee28148b,Where Was You,"Travis Scott, Playboi Carti & Future",
added,song_084e4be38af293cd78be45b7657a724348665c4cb86dfd249666cd0d0f88ee30,Insult To Injury,Timi Yuro,
added,song_08573819283e74e5def1a8e02cc48935df59ac3161dfb5fb626382f4d6dd5b00,Off To Dublin In The Green,The Abbey Tavern Singers,
added,song_085a041ace1f9724df8c8f027fb03d000cc2e7652bccaaa2579c72ae439a6bd8,The Thin Grey Line,$uicideboy$,
added,song_0868a6fb76e1f2f79e7688cbdd41d48a03298a5b5418fe5262094826d871f6cc,Splashin,Rich The Kid,
added,song_086aee1964e923b81d0b470ca107a1ce01d6da57963d363c6db1478cd10b96ad,Met Gala,Gucci Mane Featuring Offset,
added,song_0879ebec8bdd9571670566871af20534d86375cec20475d8293471059c9505a2,Doom,Juice WRLD,
added,song_088d84234227b03322a3a2b2047cd0866e8bd720b1ad331dc90b6b234dabe0c9,Cherry Berry Wine,Charlie Mccoy,
added,song_08b9283aa72df90d8e69bdd2e4909c4818df2bb374074a4acf153a1bc13e2819,Since You've Been Gone,Cherie & Marie Currie,
added,song_08c446915aa7bfb68b8cb764aa534b019dc1783bf59213018e4766fc215fd840,High Fives,Drake,
added,song_08c764d293c66459780ba7b9d7fd24edc0d3d79161e162c84c52ed4adc2ad141,(Sittin' On) The Dock Of The Bay,King Curtis & The Kingpins,
added,song_08ebdaa87b29e7caf2ffcc294195632684fb23a1fed736a17267bab97fba86c8,Twin Trim,Playboi Carti & Lil Uzi Vert,
added,song_08eeefcdaa21fa35eb41302514fd0c008524baf0fbfb365bafed737a0dd9fd58,Frisky,Sly & The Family Stone,
added,song_08fc2a069d8545d1a1525dd06996be10e49e703d5ff1f087b8f5fad9c4dd155c,Ain't Nobody Like You,Miki Howard,
added,song_090752d04e65341ca97ecbbc114b18e5cf72657d82d7631e0869a7e393283d6f,Mine Exclusively,The Olympics,
added,song_091c028a5ee46513a2d449b5ab33aedf7b1b0b04f5e330e636603da0d621aa77,Little Boxes,The Womenfolk,
added,song_0922c6b757fbf7f26e0d223b5661e4a1d1f6ba134c8fbbcd22b5babe9e7f771a,Way Over There,The Miracles,
