primary_genre,classifier,paired_rolling_endpoints,mean_absolute_difference,max_absolute_difference,mean_signed_difference,equal_weight_endpoint_change,rank_weighted_endpoint_change
Alternative / Indie,emotion_annoyance,87,0.005366024542,0.01952869566,0.001809189157,0.009456146693,0.01413287716
Alternative / Indie,emotion_approval,87,0.002781497645,0.01019326285,-0.001726996843,-0.0001177038556,0.001843178755
Alternative / Indie,emotion_caring,87,0.0030381636,0.0340436054,-0.0001879977845,0.005683390276,0.001754807199
Alternative / Indie,emotion_confusion,87,0.009772015626,0.04229243947,0.005858982394,0.04942066975,0.06496172731
Alternative / Indie,emotion_curiosity,87,0.01044294303,0.03316064183,0.0009160847768,0.06316248757,0.0698555274
Alternative / Indie,emotion_desire,87,0.006439393824,0.0249256617,-0.002206915045,-3.425671669e-05,0.002815978789
Alternative / Indie,emotion_disappointment,87,0.007388649951,0.02737186341,0.005799621312,0.005596463347,0.01921763816
Alternative / Indie,emotion_disapproval,87,0.002638285915,0.0104110668,-0.0006131263608,0.02040861486,0.0204961324
Alternative / Indie,emotion_disgust,87,0.0003739660993,0.001492936735,-1.162077056e-05,0.002766371951,0.003820775055
Alternative / Indie,emotion_embarrassment,87,0.0009493822816,0.002951356458,0.0008888975133,0.002627497071,0.003198209384
Alternative / Indie,emotion_excitement,87,0.006471263084,0.04153180644,0.003894168369,0.08542260235,0.105158166
Alternative / Indie,emotion_fear,87,0.005211503837,0.02008269704,-0.003658200376,0.01827429135,0.003259737501
Alternative / Indie,emotion_gratitude,87,0.0005476360783,0.007102354492,0.0002283366695,0.0006435791533,0.0008481792445
Alternative / Indie,emotion_grief,87,0.000261741969,0.001330674423,0.0001018253915,-0.001199235802,-0.001356596672
Alternative / Indie,emotion_joy,87,0.00457813678,0.01234980809,-0.002895077759,0.08990051814,0.08970490969
Alternative / Indie,emotion_love,87,0.01472497774,0.03667105728,-0.01465168943,-0.03128127768,-0.001668556408
Alternative / Indie,emotion_nervousness,87,0.002002725806,0.01828144112,0.0008657547968,-0.005689093007,-0.02395987968
Alternative / Indie,emotion_neutral,87,0.0168303181,0.04454773102,-0.003606115226,-0.169914976,-0.232480783
Alternative / Indie,emotion_optimism,87,0.001776563527,0.01331216363,-0.001089845528,-0.002562414364,-0.005684734046
Alternative / Indie,emotion_pride,87,0.0001704960593,0.0004814128992,-3.945105607e-05,0.001787333661,0.001917457291
Alternative / Indie,emotion_realization,87,0.003346718137,0.009477486948,0.002411435391,0.007394309808,0.007032144708
Alternative / Indie,emotion_relief,87,0.0002984417408,0.0007753392476,-0.000143850766,0.002765378546,0.001593597222
Alternative / Indie,emotion_remorse,87,0.0007675761725,0.002875897319,0.0003662377296,0.001108755935,0.002073922103
Alternative / Indie,emotion_sadness,87,0.01131311831,0.03816734144,0.006547385811,-0.06001727858,-0.05322759065
Alternative / Indie,emotion_surprise,87,0.003693624669,0.01810650005,0.003183673934,0.006784208151,0.008529695539
Alternative / Indie,ll_explicit_language,87,0.02981296701,0.08523076398,0.0003409129998,0.04071520357,0.01862642013
Alternative / Indie,ll_sexual_content,87,0.03225029366,0.09150690317,-0.02062124409,-0.01157909966,-0.02668891661
Alternative / Indie,ll_substance_use,87,0.03328252456,0.09821113747,0.02634171066,-0.2043303483,-0.2449552534
Alternative / Indie,ll_violence,87,0.03878267704,0.1341908896,-0.0002324733136,0.1931033593,0.3363612476
Alternative / Indie,sentiment_negative,87,0.004698948056,0.01596426045,-0.002026047831,-0.02730293147,-0.02039891333
Alternative / Indie,sentiment_neutral,87,0.003695351361,0.009558451742,-0.0001744383438,-0.001818210668,-0.003226042351
Alternative / Indie,sentiment_positive,87,0.00403742318,0.01435645168,0.002200485861,0.02912114118,0.02362495935
Country,detox_identity_attack,355,0.0002728028474,0.004058174903,-3.412118959e-05,0.0001530520921,-0.0004806766673
Country,detox_insult,355,0.00246442877,0.01373860272,0.001083755069,0.002621352717,0.006228621464
Country,detox_obscene,355,0.00379587119,0.02800893553,0.0001716412732,0.05820606651,0.05509667005
Country,detox_severe_toxicity,355,1.394606569e-05,0.0001259546472,-3.871307887e-06,0.0003454345149,0.0002482508416
Country,detox_sexual_explicit,355,0.0009721323042,0.004908586188,0.0001948421545,0.002953298057,0.003899193146
Country,detox_threat,355,0.0009134871319,0.006003944487,-0.0003147987807,-0.001542968996,-0.001413146175
Country,detox_toxicity,355,0.00632369125,0.02915562063,0.001980007688,0.06251295617,0.07493089204
Country,emotion_admiration,355,0.0048898887,0.02256253036,9.488744746e-05,0.003764970757,0.003743284902
Country,emotion_amusement,355,0.003999575689,0.01945202222,0.0005856948758,0.01173681828,0.01064456678
Country,emotion_anger,355,0.001163922782,0.008807967025,0.0004462034614,0.009885307207,0.01534966643
Country,emotion_annoyance,355,0.003858287855,0.04750293366,0.00112844789,0.04081409489,0.03349031966
Country,emotion_approval,355,0.002885488913,0.01623846964,-0.001004967983,0.02653238167,0.02025317786
Country,emotion_caring,355,0.002108972639,0.01650210953,0.0002750056651,-0.0169580206,-0.02198034084
Country,emotion_confusion,355,0.002331615653,0.01786125252,-0.0004610042608,0.008576106421,0.006615969921
Country,emotion_curiosity,355,0.003887967701,0.04847169448,0.001272375737,-0.01686084185,-0.02219021865
Country,emotion_desire,355,0.007755677062,0.03213399366,0.0008868229833,-0.008214829068,0.02363028054
Country,emotion_disappointment,355,0.004813556387,0.0235130563,-0.0002363345653,-0.03058699319,-0.03064522846
Country,emotion_disapproval,355,0.002853161492,0.01213524746,-0.0002371840355,0.02073008163,0.01571946386
Country,emotion_disgust,355,0.0001971210045,0.00097021312,-1.15296785e-05,7.256705617e-05,0.0004831339731
Country,emotion_embarrassment,355,0.0003409598281,0.003006547692,-9.139410983e-05,0.0002907205547,6.190955918e-05
Country,emotion_excitement,355,0.001812219364,0.008344761719,0.001170639077,0.008325687589,0.01472919819
Country,emotion_fear,355,0.002819736609,0.01385485636,-0.0002024425389,-0.01774447639,-0.02121548092
Country,emotion_gratitude,355,0.0006569585647,0.008590990061,-0.0004256379554,-0.0002021564327,-2.990231281e-05
Country,emotion_grief,355,0.0001488638976,0.0005745402654,-1.1029619e-05,-0.005525855919,-0.005267082718
Country,emotion_joy,355,0.004439627952,0.01907178266,0.001782812597,0.01411748937,0.02981428863
Country,emotion_love,355,0.01094241217,0.05571797643,0.001781223278,-0.1415489589,-0.1635980554
Country,emotion_nervousness,355,0.001101433144,0.011075984,0.0002240287863,-0.01232615169,-0.0137753997
Country,emotion_neutral,355,0.01444149715,0.06297961281,-0.003789278074,0.1266666995,0.1205019372
Country,emotion_optimism,355,0.003966731265,0.03907642176,0.001683150392,0.00419584866,0.005262667018
Country,emotion_pride,355,0.0001790741294,0.00145766457,-4.398514707e-05,-0.0004010949932,-0.0002000670189
Country,emotion_realization,355,0.002185035867,0.008937953001,-0.0007562797706,0.01137892662,0.01504877946
Country,emotion_relief,355,0.0002546416546,0.001601014353,-5.937003609e-05,-0.0001462628699,0.0001443315788
Country,emotion_remorse,355,0.001087644233,0.006451149766,-0.0003444774588,-0.008495633965,-0.009263431761
Country,emotion_sadness,355,0.005884293154,0.03178166653,-0.0005956424215,-0.2003510846,-0.1885386898
Country,emotion_surprise,355,0.001092023109,0.0167641248,-0.0001730105092,-0.0002735837029,0.0005623888161
Country,ll_explicit_language,355,0.01772374477,0.07353144562,-0.006660103972,0.3859535672,0.3356799937
Country,ll_sexual_content,355,0.02189271288,0.08228773365,0.01190619297,0.006409358342,0.0005321293077
Country,ll_substance_use,355,0.02179131346,0.06525288687,0.003448994586,0.4563543802,0.513775523
Country,ll_violence,355,0.01260785771,0.04292623044,-0.005828793492,-0.001870829593,-0.01951700706
Country,sentiment_negative,355,0.003220758653,0.01431381634,-0.001312799812,-0.03204847957,-0.02693136156
Country,sentiment_neutral,355,0.001668712111,0.007788217733,0.0002263843664,0.01225705581,0.01021495179
Country,sentiment_positive,355,0.003326413789,0.01576755044,0.001086415267,0.01979142932,0.0167164249
Electronic / Dance,detox_identity_attack,92,0.0003627426574,0.001403226796,-0.0002221962838,7.704750314e-05,-0.0003809253401
Electronic / Dance,detox_insult,92,0.003112902885,0.01172166649,-0.00197024949,0.01068681114,0.01112919185
Electronic / Dance,detox_obscene,92,0.005776648872,0.02137990393,-0.0009634065585,0.01296142263,0.009538383395
Electronic / Dance,detox_severe_toxicity,92,0.000226074496,0.001204782451,-0.0001940350219,-0.0006775481266,-0.0005427513085
Electronic / Dance,detox_sexual_explicit,92,0.003641851815,0.03292704228,-0.001811159263,-0.008426527235,-0.009420855978
Electronic / Dance,detox_threat,92,0.002724900561,0.01132932353,-0.0002596655442,-0.006646478173,-0.006080415401
Electronic / Dance,detox_toxicity,92,0.007106438242,0.03282353695,-0.001715578213,-0.01515347328,-0.01802076141
