primary_genre,classifier,possible_months,months_genre_absent,months_present_without_scores,months_below_minimum,months_below_minimum_pct,months_present_below_minimum,present_months_failure_pct,sufficient_months,valid_rolling_endpoints,individual_plot_generated
K-Pop,detox_identity_attack,818,754,6,814,99.51100244,60,93.75,4,0,False
K-Pop,detox_insult,818,754,6,814,99.51100244,60,93.75,4,0,False
K-Pop,detox_obscene,818,754,6,814,99.51100244,60,93.75,4,0,False
K-Pop,detox_severe_toxicity,818,754,6,814,99.51100244,60,93.75,4,0,False
K-Pop,detox_sexual_explicit,818,754,6,814,99.51100244,60,93.75,4,0,False
K-Pop,detox_threat,818,754,6,814,99.51100244,60,93.75,4,0,False
K-Pop,detox_toxicity,818,754,6,814,99.51100244,60,93.75,4,0,False
K-Pop,emotion_admiration,818,754,6,814,99.51100244,60,93.75,4,0,False
K-Pop,emotion_amusement,818,754,6,814,99.51100244,60,93.75,4,0,False
K-Pop,emotion_anger,818,754,6,814,99.51100244,60,93.75,4,0,False
K-Pop,emotion_annoyance,818,754,6,814,99.51100244,60,93.75,4,0,False
K-Pop,emotion_approval,818,754,6,814,99.51100244,60,93.75,4,0,False
K-Pop,emotion_caring,818,754,6,814,99.51100244,60,93.75,4,0,False
K-Pop,emotion_confusion,818,754,6,814,99.51100244,60,93.75,4,0,False
K-Pop,emotion_curiosity,818,754,6,814,99.51100244,60,93.75,4,0,False
K-Pop,emotion_desire,818,754,6,814,99.51100244,60,93.75,4,0,False
K-Pop,emotion_disappointment,818,754,6,814,99.51100244,60,93.75,4,0,False
K-Pop,emotion_disapproval,818,754,6,814,99.51100244,60,93.75,4,0,False
K-Pop,emotion_disgust,818,754,6,814,99.51100244,60,93.75,4,0,False
K-Pop,emotion_embarrassment,818,754,6,814,99.51100244,60,93.75,4,0,False
K-Pop,emotion_excitement,818,754,6,814,99.51100244,60,93.75,4,0,False
K-Pop,emotion_fear,818,754,6,814,99.51100244,60,93.75,4,0,False
