primary_genre,classifier,valid_rolling_endpoints,earliest_month,earliest_mean,earliest_window_n,earliest_min_monthly_n,latest_month,latest_mean,latest_window_n,latest_min_monthly_n,minimum_month,minimum_mean,minimum_window_n,minimum_min_monthly_n,maximum_month,maximum_mean,maximum_window_n,maximum_min_monthly_n,latest_minus_earliest,rolling_range
Afrobeats / African Pop,emotion_nervousness,0,,,,,,,,,,,,,,,,,,
Afrobeats / African Pop,emotion_neutral,0,,,,,,,,,,,,,,,,,,
Afrobeats / African Pop,emotion_optimism,0,,,,,,,,,,,,,,,,,,
Afrobeats / African Pop,emotion_pride,0,,,,,,,,,,,,,,,,,,
Afrobeats / African Pop,emotion_realization,0,,,,,,,,,,,,,,,,,,
Afrobeats / African Pop,emotion_relief,0,,,,,,,,,,,,,,,,,,
Afrobeats / African Pop,emotion_remorse,0,,,,,,,,,,,,,,,,,,
Afrobeats / African Pop,emotion_sadness,0,,,,,,,,,,,,,,,,,,
Afrobeats / African Pop,emotion_surprise,0,,,,,,,,,,,,,,,,,,
Afrobeats / African Pop,ll_explicit_language,0,,,,,,,,,,,,,,,,,,
Afrobeats / African Pop,ll_sexual_content,0,,,,,,,,,,,,,,,,,,
Afrobeats / African Pop,ll_substance_use,0,,,,,,,,,,,,,,,,,,
Afrobeats / African Pop,ll_violence,0,,,,,,,,,,,,,,,,,,
Afrobeats / African Pop,sentiment_negative,0,,,,,,,,,,,,,,,,,,
Afrobeats / African Pop,sentiment_neutral,0,,,,,,,,,,,,,,,,,,
Afrobeats / African Pop,sentiment_positive,0,,,,,,,,,,,,,,,,,,
Alternative / Indie,detox_identity_attack,87,1983-08,0.001375787322,69,5,2014-08,0.001328384706,89,5,2000-03,0.001296076274,102,7,1996-11,0.009191517239,135,6,-4.74026155e-05,0.007895440964
Alternative / Indie,detox_insult,87,1983-08,0.009441502185,69,5,2014-08,0.01509079606,89,5,1983-08,0.009441502185,69,5,1994-12,0.1337426224,117,8,0.005649293875,0.1243011203
Alternative / Indie,detox_obscene,87,1983-08,0.005081137081,69,5,2014-08,0.01784450253,89,5,1983-10,0.004916525366,72,5,1995-01,0.1385915614,119,8,0.01276336545,0.133675036
Alternative / Indie,detox_severe_toxicity,87,1983-08,3.046498024e-05,69,5,2014-08,8.604646981e-05,89,5,1983-10,2.995478975e-05,72,5,1995-01,0.009741005363,119,8,5.558148957e-05,0.009711050573
Alternative / Indie,detox_sexual_explicit,87,1983-08,0.007617772629,69,5,2014-08,0.00178009114,89,5,2013-11,0.0009805297438,86,6,1998-10,0.08867126032,78,5,-0.005837681489,0.08769073058
Alternative / Indie,detox_threat,87,1983-08,0.000595234988,69,5,2014-08,0.009147061866,89,5,1983-08,0.000595234988,69,5,2014-01,0.01840532861,84,6,0.008551826878,0.01781009362
Alternative / Indie,detox_toxicity,87,1983-08,0.0355203564,69,5,2014-08,0.07859999258,89,5,1983-10,0.03410866106,72,5,1994-12,0.2704472371,117,8,0.04307963618,0.236338576
Alternative / Indie,emotion_admiration,87,1983-08,0.01260930209,69,5,2014-08,0.01629917207,89,5,2013-04,0.00386140217,86,5,1996-06,0.07133683694,131,7,0.003689869986,0.06747543477
Alternative / Indie,emotion_amusement,87,1983-08,0.01927723801,69,5,2014-08,0.009747175647,89,5,1994-05,0.002074264626,92,5,1996-09,0.07388103863,135,7,-0.009530062367,0.071806774
Alternative / Indie,emotion_anger,87,1983-08,0.005323509117,69,5,2014-08,0.0113423138,89,5,1983-08,0.005323509117,69,5,1999-11,0.0448238446,119,7,0.006018804683,0.03950033548
Alternative / Indie,emotion_annoyance,87,1983-08,0.03149726945,69,5,2014-08,0.04095341614,89,5,1998-11,0.02820774022,75,5,1994-05,0.117198402,92,5,0.009456146693,0.08899066182
Alternative / Indie,emotion_approval,87,1983-08,0.03169861214,69,5,2014-08,0.03158090828,89,5,2007-04,0.02837541563,119,8,2003-02,0.1060428703,80,5,-0.0001177038556,0.07766745466
Alternative / Indie,emotion_caring,87,1983-08,0.006643333179,69,5,2014-08,0.01232672346,89,5,1998-09,0.004293518983,81,5,2003-02,0.09740547065,80,5,0.005683390276,0.09311195167
Alternative / Indie,emotion_confusion,87,1983-08,0.03317641613,69,5,2014-08,0.08259708588,89,5,1983-11,0.02498031869,73,5,1998-03,0.1466313411,97,6,0.04942066975,0.1216510225
Alternative / Indie,emotion_curiosity,87,1983-08,0.03120437067,69,5,2014-08,0.09436685824,89,5,1983-11,0.02647330782,73,5,2014-04,0.1035171823,87,6,0.06316248757,0.07704387449
Alternative / Indie,emotion_desire,87,1983-08,0.03785118763,69,5,2014-08,0.03781693091,89,5,2013-04,0.01316968814,86,5,1999-04,0.1333683447,96,5,-3.425671669e-05,0.1201986565
Alternative / Indie,emotion_disappointment,87,1983-08,0.04486743461,69,5,2014-08,0.05046389795,89,5,1983-10,0.04028093497,72,5,1994-05,0.1333886447,92,5,0.005596463347,0.09310770974
Alternative / Indie,emotion_disapproval,87,1983-08,0.01701347023,69,5,2014-08,0.03742208508,89,5,2014-02,0.01309530444,83,6,2000-05,0.08203063718,98,5,0.02040861486,0.06893533275
Alternative / Indie,emotion_disgust,87,1983-08,0.003643154373,69,5,2014-08,0.006409526323,89,5,1983-08,0.003643154373,69,5,2007-02,0.009680003027,110,5,0.002766371951,0.006036848655
Alternative / Indie,emotion_embarrassment,87,1983-08,0.002787175943,69,5,2014-08,0.005414673014,89,5,1983-08,0.002787175943,69,5,1997-11,0.0131631289,102,6,0.002627497071,0.01037595296
Alternative / Indie,emotion_excitement,87,1983-08,0.0205160542,69,5,2014-08,0.1059386565,89,5,1997-10,0.004236406581,102,6,2014-06,0.1133832674,90,6,0.08542260235,0.1091468608
Alternative / Indie,emotion_fear,87,1983-08,0.02182545044,69,5,2014-08,0.04009974179,89,5,2000-05,0.005377212836,98,5,1998-10,0.04769269424,78,5,0.01827429135,0.0423154814
